Citation,Manner,Cleaned_Citation,Stemmed_tokens,Tokenized_Citation
 إذا أردت أن تطاع فأمر بما يستطاع.,Sentiment: positive,"['أردت', 'تطاع', 'فأمر', 'يستطاع']",أرد طاع آمر ستطاع,"['أرد', 'طاع', 'آمر', 'ستطاع']"
 في سعة الأخلاق كنوز الأرزاق.,Sentiment: positive,"['سعة', 'الأخلاق', 'كنوز', 'الأرزاق']",سع أخلاق كنوز أرزاق,"['سع', 'أخلاق', 'كنوز', 'أرزاق']"
 إذا المرء لم يدنس من اللؤم عرضه فكل رداء يرتديه جميل.,Sentiment: positive,"['المرا', 'يدنس', 'اللام', 'عرضه', 'فكل', 'رداا', 'يرتديه', 'جميل']",مرآ دنس لام عرض كل رداا رتدي جميل,"['مرآ', 'دنس', 'لام', 'عرض', 'كل', 'رداا', 'رتدي', 'جميل']"
 لا يمكن للإنسان أن يصبح عالماً قبل أن يكون إنساناً.,Sentiment: negative,"['يمكن', 'للإنسان', 'يصبح', 'عالما', 'يكون', 'إنسانا']",مكن إنسان صبح عالم يكون أنس,"['مكن', 'إنسان', 'صبح', 'عالم', 'يكون', 'أنس']"
 إذا أنتَ أكرمت الكريم مَلكته وإن أنتَ أكرمتَ اللئيم تمردا.,Sentiment: positive,"['أكرمت', 'الكريم', 'ملكته', 'أكرمت', 'اللئيم', 'تمردا']",أكرم كريم ملك أكرم لئيم تمرد,"['أكرم', 'كريم', 'ملك', 'أكرم', 'لئيم', 'تمرد']"
 شيئان ما إنفكا يثيران في نفسي الإعجاب والاحترام: السماء ذات النجوم من فوقي، وسمو الأخلاق في نفسي.,Sentiment: positive,"['شيئان', 'إنفكا', 'يثيران', 'نفسي', 'الإعجاب', 'الاحترام', 'السماا', 'النجوم', 'فوقي', 'سمو', 'الأخلاق', 'نفسي']",شيئ ٱنفك ثير نفس إعجاب ٱحترام السماا نجوم فوق سمو أخلاق نفس,"['شيئ', 'ٱنفك', 'ثير', 'نفس', 'إعجاب', 'ٱحترام', 'السماا', 'نجوم', 'فوق', 'سمو', 'أخلاق', 'نفس']"
 كفى المرء فضلاً أن تُعَدَّ معايبه.,Sentiment: negative,"['كفى', 'المرا', 'تعد', 'معايبه']",كف مرآ تعد معايب,"['كف', 'مرآ', 'تعد', 'معايب']"
 تنكشف الأخلاق في ساعة الشدّة.,Sentiment: negative,"['تنكشف', 'الأخلاق', 'ساعة', 'الشدة']",نكشف أخلاق ساع شد,"['نكشف', 'أخلاق', 'ساع', 'شد']"
 اذا لم تستحي فافعل ما تشاء.,Sentiment: positive,"['تستحي', 'فافعل', 'تشاا']",ستحي أفعل تشاا,"['ستحي', 'أفعل', 'تشاا']"
 الخلوق مَن إذا مَدحته خجل وإذا هجوته سكت.,Sentiment: positive,"['الخلوق', 'مدحته', 'خجل', 'هجوته', 'سكت']",خلوق مدح خجل هجو سك,"['خلوق', 'مدح', 'خجل', 'هجو', 'سك']"
 أطهر الناس أعراقاً أحسنهم أخلاقاً.,Sentiment: positive,"['أطهر', 'الناس', 'أعراقا', 'أحسنهم', 'أخلاقا']",طهر ناس أعراقا أحسن أخلاق,"['طهر', 'ناس', 'أعراقا', 'أحسن', 'أخلاق']"
 لا مروؤة لكذوب، ولا ورع لسيء الخلق.,Good Moral: وَرَع,"['مرواة', 'لكذوب', 'رع', 'لسيا', 'الخلق']",مرواة كذوب رع سي خلق,"['مرواة', 'كذوب', 'رع', 'سي', 'خلق']"
 أعرف الناس بالله أرضاهم بما قسم الله له.,Sentiment: positive,"['أعرف', 'الناس', 'بالله', 'أرضاهم', 'قسم', 'الله']",أعرف ناس بالله أرض قسم الله,"['أعرف', 'ناس', 'بالله', 'أرض', 'قسم', 'الله']"
 إِذا بيئة الإِنسان يوماً تغيَّرت .. فأخلاقُه طِبقاً لها تتغير.,Sentiment: neutral,"['بيئة', 'الإنسان', 'يوما', 'تغيرت', 'فأخلاقه', 'طبقا', 'تتغير']",بيئ إنسان يوم تغير أخلاق طبق تغير,"['بيئ', 'إنسان', 'يوم', 'تغير', 'أخلاق', 'طبق', 'تغير']"
 اعفُ عما أغضبك لما أرضاك.,Sentiment: positive,"['اعف', 'أغضبك', 'أرضاك']",أعف أغضب أرض,"['أعف', 'أغضب', 'أرض']"
 تواضع عن رفعة، وازهد عن حكمة، وأنصف عن قوّة، وإعفُ عن قدرة. ,Sentiment: positive,"['تواضع', 'رفعة', 'ازهد', 'حكمة', 'أنصف', 'قوة', 'إعف', 'قدرة']",تواضع رفع زهد حكم أنصف قو أعف قدر,"['تواضع', 'رفع', 'زهد', 'حكم', 'أنصف', 'قو', 'أعف', 'قدر']"
 أفضل الجود العطاء قبل الموعد.,Sentiment: positive,"['أفضل', 'الجود', 'العطاا', 'الموعد']",أفضل الجود العطاا موعد,"['أفضل', 'الجود', 'العطاا', 'موعد']"
 ما قرن شيء إلى شيء أفضل من إخلاص إلى تقوى، ومن حلم إلى علم، ومِن صدق إلى عمل، فهي زينة الأخلاق ومَنبت الفضائل.,Good Moral: حُلُم,"['قرن', 'شيا', 'شيا', 'أفضل', 'إخلاص', 'تقوى', 'حلم', 'صدق', 'عمل', 'فهي', 'زينة', 'الأخلاق', 'منبت', 'الفضائل']",قرن شي شي أفضل إخلاص تقو حلم صدق عمل هي زين أخلاق منبت فضائل,"['قرن', 'شي', 'شي', 'أفضل', 'إخلاص', 'تقو', 'حلم', 'صدق', 'عمل', 'هي', 'زين', 'أخلاق', 'منبت', 'فضائل']"
 الأقربون أولى بالمعروف.,Sentiment: positive,"['الأقربون', 'أولى', 'بالمعروف']",أقرب أول معروف,"['أقرب', 'أول', 'معروف']"
 الخلوق صدوق، والعنيف ضعيف، والأصيل نبيل والحليم حكيم، والشريف عفيف.,Sentiment: positive,"['الخلوق', 'صدوق', 'العنيف', 'ضعيف', 'الأصيل', 'نبيل', 'الحليم', 'حكيم', 'الشريف', 'عفيف']",خلوق صدوق عنيف ضعيف أصيل نبيل حليم حكيم شريف عفيف,"['خلوق', 'صدوق', 'عنيف', 'ضعيف', 'أصيل', 'نبيل', 'حليم', 'حكيم', 'شريف', 'عفيف']"
 الْبِشْرَ دال على الكرم.,Sentiment: positive,"['البشر', 'الكرم']",بشر كرم,"['بشر', 'كرم']"
 حسن الخلق أحد مراكب النجاة.,Sentiment: positive,"['حسن', 'الخلق', 'مراكب', 'النجاة']",حسن خلق مراكب نجا,"['حسن', 'خلق', 'مراكب', 'نجا']"
 التكبر على المتكبر تواضع.,Sentiment: positive,"['التكبر', 'المتكبر', 'تواضع']",تكبر متكبر تواضع,"['تكبر', 'متكبر', 'تواضع']"
 أدنى أخلاق الشريف كتمان سره، وأعلى أخلاقه نسيان ما أسر له.,Sentiment: positive,"['أدنى', 'أخلاق', 'الشريف', 'كتمان', 'سره', 'أعلى', 'أخلاقه', 'نسيان', 'أسر']",أد أخلاق شريف كتمان سر أعلى أخلاق نسي أسر,"['أد', 'أخلاق', 'شريف', 'كتمان', 'سر', 'أعلى', 'أخلاق', 'نسي', 'أسر']"
 التواضع من مصائد الشرف.,Good Moral: تَواضُع,"['التواضع', 'مصائد', 'الشرف']",تواضع مصائد شرف,"['تواضع', 'مصائد', 'شرف']"
