Citation,Manner,Cleaned_Citation
 إذا أردت أن تطاع فأمر بما يستطاع.,Sentiment: positive,"['أردت', 'تطاع', 'فأمر', 'يستطاع']"
 في سعة الأخلاق كنوز الأرزاق.,Sentiment: positive,"['سعة', 'الأخلاق', 'كنوز', 'الأرزاق']"
 إذا المرء لم يدنس من اللؤم عرضه فكل رداء يرتديه جميل.,Sentiment: positive,"['المرا', 'يدنس', 'اللام', 'عرضه', 'فكل', 'رداا', 'يرتديه', 'جميل']"
 لا يمكن للإنسان أن يصبح عالماً قبل أن يكون إنساناً.,Sentiment: negative,"['يمكن', 'للإنسان', 'يصبح', 'عالما', 'يكون', 'إنسانا']"
 إذا أنتَ أكرمت الكريم مَلكته وإن أنتَ أكرمتَ اللئيم تمردا.,Sentiment: positive,"['أكرمت', 'الكريم', 'ملكته', 'أكرمت', 'اللئيم', 'تمردا']"
 شيئان ما إنفكا يثيران في نفسي الإعجاب والاحترام: السماء ذات النجوم من فوقي، وسمو الأخلاق في نفسي.,Sentiment: positive,"['شيئان', 'إنفكا', 'يثيران', 'نفسي', 'الإعجاب', 'الاحترام', 'السماا', 'النجوم', 'فوقي', 'سمو', 'الأخلاق', 'نفسي']"
 كفى المرء فضلاً أن تُعَدَّ معايبه.,Sentiment: negative,"['كفى', 'المرا', 'تعد', 'معايبه']"
 تنكشف الأخلاق في ساعة الشدّة.,Sentiment: negative,"['تنكشف', 'الأخلاق', 'ساعة', 'الشدة']"
 اذا لم تستحي فافعل ما تشاء.,Sentiment: positive,"['تستحي', 'فافعل', 'تشاا']"
 الخلوق مَن إذا مَدحته خجل وإذا هجوته سكت.,Sentiment: positive,"['الخلوق', 'مدحته', 'خجل', 'هجوته', 'سكت']"
 أطهر الناس أعراقاً أحسنهم أخلاقاً.,Sentiment: positive,"['أطهر', 'الناس', 'أعراقا', 'أحسنهم', 'أخلاقا']"
 لا مروؤة لكذوب، ولا ورع لسيء الخلق.,Good Moral: وَرَع,"['مرواة', 'لكذوب', 'رع', 'لسيا', 'الخلق']"
 أعرف الناس بالله أرضاهم بما قسم الله له.,Sentiment: positive,"['أعرف', 'الناس', 'بالله', 'أرضاهم', 'قسم', 'الله']"
 إِذا بيئة الإِنسان يوماً تغيَّرت .. فأخلاقُه طِبقاً لها تتغير.,Sentiment: neutral,"['بيئة', 'الإنسان', 'يوما', 'تغيرت', 'فأخلاقه', 'طبقا', 'تتغير']"
 اعفُ عما أغضبك لما أرضاك.,Sentiment: positive,"['اعف', 'أغضبك', 'أرضاك']"
 تواضع عن رفعة، وازهد عن حكمة، وأنصف عن قوّة، وإعفُ عن قدرة. ,Sentiment: positive,"['تواضع', 'رفعة', 'ازهد', 'حكمة', 'أنصف', 'قوة', 'إعف', 'قدرة']"
 أفضل الجود العطاء قبل الموعد.,Sentiment: positive,"['أفضل', 'الجود', 'العطاا', 'الموعد']"
 ما قرن شيء إلى شيء أفضل من إخلاص إلى تقوى، ومن حلم إلى علم، ومِن صدق إلى عمل، فهي زينة الأخلاق ومَنبت الفضائل.,Good Moral: حُلُم,"['قرن', 'شيا', 'شيا', 'أفضل', 'إخلاص', 'تقوى', 'حلم', 'صدق', 'عمل', 'فهي', 'زينة', 'الأخلاق', 'منبت', 'الفضائل']"
 الأقربون أولى بالمعروف.,Sentiment: positive,"['الأقربون', 'أولى', 'بالمعروف']"
 الخلوق صدوق، والعنيف ضعيف، والأصيل نبيل والحليم حكيم، والشريف عفيف.,Sentiment: positive,"['الخلوق', 'صدوق', 'العنيف', 'ضعيف', 'الأصيل', 'نبيل', 'الحليم', 'حكيم', 'الشريف', 'عفيف']"
 الْبِشْرَ دال على الكرم.,Sentiment: positive,"['البشر', 'الكرم']"
 حسن الخلق أحد مراكب النجاة.,Sentiment: positive,"['حسن', 'الخلق', 'مراكب', 'النجاة']"
 التكبر على المتكبر تواضع.,Sentiment: positive,"['التكبر', 'المتكبر', 'تواضع']"
 أدنى أخلاق الشريف كتمان سره، وأعلى أخلاقه نسيان ما أسر له.,Sentiment: positive,"['أدنى', 'أخلاق', 'الشريف', 'كتمان', 'سره', 'أعلى', 'أخلاقه', 'نسيان', 'أسر']"
 التواضع من مصائد الشرف.,Good Moral: تَواضُع,"['التواضع', 'مصائد', 'الشرف']"
 إذا أردت أن تعرف أخلاق رجل فضع في يده سلطة ثم أنظر كيف يتصرف.,Sentiment: neutral,"['أردت', 'تعرف', 'أخلاق', 'رجل', 'فضع', 'يده', 'سلطة', 'أنظر', 'يتصرف']"
 الجودة من الموجودة.,Sentiment: positive,"['الجودة', 'الموجودة']"
 الحر تكفيه الإشارة.,Sentiment: positive,"['الحر', 'تكفيه', 'الإشارة']"
 الحِلْمُ سيد الأخلاق.,Good Moral: حُلُم,"['الحلم', 'سيد', 'الأخلاق']"
